message,target
"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",0
Too late. I said i have the website. I didn't i have or dont have the slippers,0
"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",0
"Lets use it next week, princess :)",0
Ok Chinese food on its way. When I get fat you're paying for my lipo.,0
Lovely smell on this bus and it ain't tobacco... ,0
U studying in sch or going home? Anyway i'll b going 2 sch later.,0
"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",0
Hey what how about your project. Started aha da.,0
If you were/are free i can give. Otherwise nalla adi entey nattil kittum,0
I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,0
Goin to workout lor... Muz lose e fats... ,0
from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,1
Also remember to get dobby's bowl from your car,0
U calling me right? Call my hand phone...,0
"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",0
"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack",0
We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,1
Horrible bf... I now v hungry...,0
Ok...,0
It vl bcum more difficult..,0
Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,0
"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",0
Yeah confirmed for you staying at  that weekend,0
And do you have any one that can teach me how to ship cars.,0
Ok i msg u b4 i leave my house.,0
"Haha yeah I see that now, be there in a sec",0
I'm thinking that chennai forgot to come for auction..,0
"The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!, Gud night....",0
I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,0
Crucify is c not s. You should have told me earlier.,0
Ü dun wan to watch infernal affair?,0
Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;,0
I have many dependents,0
S...i will take mokka players only:),0
Re your call; You didn't see my facebook huh?,0
Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself. ,0
This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,1
Wait . I will msg after  &lt;#&gt;  min.,0
URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,1
Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,0
Thats cool. i liked your photos. You are very sexy!,0
Gud mrng dear hav a nice day,0
What you need. You have a person to give na.,0
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,1
Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,0
I am great princess! What are you thinking about me? :),0
Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,0
FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,1
I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you,0
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply.",1
I will treasure every moment we spend together...,0
"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",0
U still havent got urself a jacket ah?,0
"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",0
Thats cool. How was your day?,0
S:)s.nervous  &lt;#&gt; :),0
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,0
"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",0
Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save £s with Free texts/weekend calls. Text YES for a callback orno to opt out,1
RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,1
I'm leaving my house now.,0
Then why no one talking to me,0
"I'll see if I can swing by in a bit, got some things to take care of here firsg",0
Ü go home liao? Ask dad to pick me up at 6...,0
HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,0
You made my day. Do have a great day too.,0
Will be office around 4 pm. Now i am going hospital.,0
Yavnt tried yet and never played original either,0
No:-)i got rumour that you going to buy apartment in chennai:-),0
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",0
I'm done. C ü there.,0
I've told you everything will stop. Just dont let her get dehydrated.,0
"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola",0
Oops my phone died and I didn't even know. Yeah I like it better.,0
Hey are you angry with me. Reply me dr.,0
**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,1
Thanks for loving me so. You rock,0
Are you planning to come chennai?,0
DO NOT B LATE LOVE MUM,0
"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",0
Thanks for picking up the trash.,0
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1
* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,0
When can ü come out?,0
Printer is cool. I mean groovy. Wine is groovying,0
Where in abj are you serving. Are you staying with dad or alone.,0
Dude we should go sup again,0
Ü no home work to do meh... ,0
Shall I bring us a bottle of wine to keep us amused? Only joking! I‘ll bring one anyway,0
Yup having my lunch buffet now.. U eat already?,0
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,0
That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,0
What's up. Do you want me to come online?,0
I love to cuddle! I want to hold you in my strong arms right now...,0
they released another Italian one today and it has a cosign option,0
CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,1
* Thought I didn't see you.,0
R u here yet? I'm wearing blue shirt n black pants.,0
TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,1
I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,0
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0
Your brother is a genius,0
+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,1
"As in missionary hook up, doggy hook up, standing...|",0
"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",0
Simply sitting and watching match in office..,0
Love that holiday Monday feeling even if I have to go to the dentists in an hour,0
XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,1
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,0
I am in tirupur.  call you da.,0
"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?",0
"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",0
She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy,0
Dear got train and seat mine lower seat,0
Mmm so yummy babe ... Nice jolt to the suzy,0
Small problem in auction:)punj now asking tiwary,0
Wat's my dear doing? Sleeping ah?,0
"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",0
"How about clothes, jewelry, and trips?",0
"Its ok., i just askd did u knw tht no?",0
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,1
"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",0
"What i mean was i left too early to check, cos i'm working a 9-6.",0
Waaaat?? Lololo ok next time then!,0
If you r @ home then come down within 5 min,0
Were somewhere on Fredericksburg,0
Staff of placement training in Amrita college.,0
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1
Yup,0
I sent them. Do you like?,0
Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,1
Yup song bro. No creative. Neva test quality. He said check review online.,0
"alright babe, justthought id sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x.",0
Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,0
There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,0
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0
That means get the door,0
Hey. You got any mail?,0
aathi..where are you dear..,0
Its sarcasm.. .nt scarcasim,0
No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,0
I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,0
"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!",0
I'm now but have to wait till 2 for the bus to pick me.,0
"Velly good, yes please!",0
"That's fine, have him give me a call if he knows what he wants or has any questions",0
"Greetings me, ! Consider yourself excused.",0
Is xy in ur car when u picking me up?,0
"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",0
Me n him so funny...,0
Thank you. I like you as well...,0
Here got lots of hair dresser fr china.,0
I'm home...,0
I didn't get the second half of that message,0
Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,0
Oh you got many responsibilities.,0
Ding me on ya break fassyole! Blacko from londn,0
Still work going on:)it is very small house.,0
Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,0
"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",1
"I've got  &lt;#&gt; , any way I could pick up?",0
WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,1
"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",0
yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,0
"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! ",0
ITS A LAPTOP TAKE IT WITH YOU.,0
"[…] anyway, many good evenings to u! s",0
I am late. I will be there at,0
I know you are. Can you pls open the back?,0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),0
I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),1
Im just wondering what your doing right now?,0
Oh god..taken the teeth?is it paining,0
I'm freezing and craving ice. Fml,0
"My planning usually stops at ""find hella weed, smoke hella weed""",0
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0
Reverse is cheating. That is not mathematics.,0
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0
Is that on the telly? No its Brdget Jones!,0
S:-)if we have one good partnership going we will take lead:),0
"Theoretically yeah, he could be able to come",0
"I'm in a meeting, call me later at",0
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1
Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,0
Hi happy birthday. Hi hi hi hi hi hi hi,0
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1
Thanks for this hope you had a good day today,0
In which place i can get rooms cheap:-),0
08714712388 between 10am-7pm Cost 10p,1
I was about to do it when i texted. I finished a long time ago and showered and er'ything!,0
"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",0
Good. do you think you could send me some pix? I would love to see your top and bottom...,0
"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",0
Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,0
Cos darren say ü considering mah so i ask ü...,0
Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,1
I cant pick the phone right now. Pls send a message,0
URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50,1
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,1
No current and food here. I am alone also,0
Ooooooh I forgot to tell u I can get on yoville on my phone,0
Boooo you always work. Just quit.,0
FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,1
Ok try to do week end course in coimbatore.,0
"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",0
Pls call me da. What happen.,0
You always make things bigger than they are,0
You know there is. I shall speak to you in  &lt;#&gt;  minutes then,0
"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",0
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,1
"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",0
How's ur paper?,0
I will send them to your email. Do you mind  &lt;#&gt;  times per night?,0
The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,0
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",1
Play w computer? Aiyah i tok 2 u lor?,0
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,0
says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,0
I'm in chennai velachery:),0
"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",0
So when do you wanna gym?,0
Man this bus is so so so slow. I think you're gonna get there before me,0
Yeah I don't see why not,0
Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,1
We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,1
have * good weekend.,0
How are you enjoying this semester? Take care brother.,0
One small prestige problem now.,0
Hey what's up charles sorry about the late reply.,0
Sitting in mu waiting for everyone to get out of my suite so I can take a shower,0
Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,0
Lol u still feeling sick?,0
SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,0
"CHA QUITEAMUZING THATSCOOL BABE,PROBPOP IN & CU SATTHEN HUNNY 4BREKKIE! LOVE JEN XXX. PSXTRA LRG PORTIONS 4 ME PLEASE ",0
Yo im right by yo work,0
R u sure they'll understand that! Wine * good idea just had a slurp!,0
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,0
"Sounds good, keep me posted",0
"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home",0
Shall i send that exe to your mail id.,0
"Why is that, princess? I bet the brothas are all chasing you!",0
It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,0
Is it your yahoo boys that bring in the perf? Or legal.,0
on a Tuesday night r u 4 real,0
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1
My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,0
U dun say so early hor... U c already then say...,0
How are you. Just checking up on you,0
Your daily text from me – a favour this time,0
Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,0
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0
Wake me up at  &lt;#&gt;  am morning:),0
Lol yeah at this point I guess not,0
Umma. Did she say anything,0
No plans yet. What are you doing ?,0
No probably  &lt;#&gt; %.,0
If you have belive me. Come to my home.,0
"I'm in solihull, | do you want anything?",0
hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.,0
Ok no prob,0
Am also doing in cbe only. But have to pay.,0
Yes.mum lookin strong:),0
Where are you call me.,0
I thank you so much for all you do with selflessness. I love you plenty.,0
Ok... The theory test? when are ü going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,0
Whatsup there. Dont u want to sleep,0
Me fine..absolutly fine,0
Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,0
Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.,0
Send to someone else :-),0
Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,0
I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.,0
"I can. But it will tell quite long, cos i haven't finish my film yet...",0
Yunny... I'm goin to be late,0
Or ill be a little closer like at the bus stop on the same street,0
No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),0
"Aight that'll work, thanks",0
Many more happy returns of the day. I wish you happy birthday.,0
"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",0
Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,1
Gud ni8 dear..slp well..take care..swt dreams..Muah..,0
HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!鈥┾??〨ud evening...,0
Babe ? I lost you ... :-(,0
"Aight will do, thanks again for comin out",0
Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,1
ILL B DOWN SOON,0
Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,0
"Could you not read me, my Love ? I answered you",0
"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?",0
"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... ",0
Can i get your opinion on something first?,0
"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",0
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,1
Might ax well im there.,0
Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,0
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,1
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,1
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,0
"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",0
My sister going to earn more than me da.,0
"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",0
I love working from home :),0
He remains a bro amongst bros,0
"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",0
"Sorry, I'll call later",0
"I sent you the prices and do you mean the  &lt;#&gt; g,",0
Glad to see your reply.,0
What your plan for pongal?,0
Anything lor is she coming?,0
"Arms fine, how's Cardiff and uni? ",0
"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",0
I will see in half an hour,0
"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone""",0
"Sir, waiting for your letter.",0
Hey you can pay. With salary de. Only  &lt;#&gt; .,0
Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,0
Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,0
"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",0
Sent me de webadres for geting salary slip,0
Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit,0
Thats cool princess! I will cover your face in hot sticky cum :),0
Total video converter free download type this in google search:),0
